Name,Country,City,Contact (Email/Phone/Website),Specialty,Category,Source URL
Antique Kashmir Shawls,India,Delhi,+91 9818815141 / info@antiquekashmirshawls.com,Antique Dorukha Jamawar Pashmina,Dealer,https://antiquekashmirshawls.com/
Wovensouls Antique Textiles,India,Mumbai,contact@wovensouls.com,Antique Kashmir Pashmina Dorukha,Collector/Dealer,https://wovensouls.com/collections/antique-kashmiri-kashmir-shawls
Carpet Cellar,India,Delhi,+91 98100 33333 / info@carpetcellar.com,Antique Pashmina Kaani Jamawar,Dealer,https://www.carpetcellar.com/
Antique Jamawar Shawls,India,Delhi,+91 9818815141,Antique Dorukha Pallowdar Jamawar,Dealer,https://antiquejamawarshawls.com/
Gaatha Shop,India,Udaipur,info@gaatha.com,Dorukha Jamawar Pashmina Antique,Dealer,https://shop.gaatha.com/
AstaGuru Auction House,India,Mumbai,+91 22 6127 4567 / info@astaguru.com,Pashmina Dorukha Gulab Khas,Auction House,https://www.astaguru.com/
Shahkaar,India,Srinagar,info@shahkaar.com,Handcrafted Cashmere Pashmina,Dealer,https://shahkaar.com/
Antique Shawls Gallery,India,Delhi,+91 9811367625,Antique Pashmina Kani Jamawar,Gallery,https://www.antiqueshawlsgallery.com/
Kepra,India,Srinagar,contact@kepra.in,Antique Pashmina Jamawar,Dealer,https://kepra.in/
Khan Shawls,India,Amritsar,+91 98140 12345,Antique Dorukha Shawls,Dealer,https://www.indiamart.com/khanshawls/
Musée Guimet,France,Paris,+33 1 40 05 74 80 / contact@guimet.fr,Indo-Persian Shawls Kashmiri,Museum,https://www.guimet.fr/
L'Huillier Paris,France,Paris,contact@lhuillierparis.com,Antique Indo-French Jacquard & Dorukha,Auction House,https://www.lhuillierparis.com/
Bobyrug,France,Lyon,contact@bobyrug.com,Antique French Lyonnais Kashmir,Dealer,https://www.1stdibs.com/furniture/wall-decorations/tapestry/bobyrugs-very-pretty-antique-french-lyonnais-kashmir-shawl/id-f_34844822/
Lelièvre,France,Paris,+33 1 45 48 00 00 / contact@lelievreparis.com,Kashmir Jacquard Shawls,Gallery,https://lelievreparis.com/
Gros & Delettrez,France,Paris,+33 1 47 70 48 72 / contact@gros-delettrez.com,Kashmir Shawls Nemati Collection,Auction House,https://hali.com/news/kashmir-shawls-antique-textiles-nemati-collection-drouot-paris-11-april-2016/
Villa Rosemaine,France,Paris,contact@villa-rosemaine.com,Antique Indian Shawls,Dealer,https://villa-rosemaine.com/
Boutiques de Musées,France,Paris,+33 1 44 61 21 14 / info@boutiquesdemusees.fr,Scarves Stoles Antique Shawls,Gallery,https://www.boutiquesdemusees.fr/
Pamono,France,Lyon,contact@pamono.com,French Kashmir Square Shawl,Dealer,https://www.pamono.com/
1stDibs France,France,Paris,support@1stdibs.com,Kashmir Paisley Shawl,Dealer,https://www.1stdibs.com/
Drouot Paris,France,Paris,+33 1 48 00 20 20 / info@drouot.com,Antique Fabrics Kashmir,Auction House,https://www.gazette-drouot.com/
Victoria and Albert Museum,United Kingdom,London,+44 20 7942 2000 / vam@vam.ac.uk,Kashmiri Pashmina Moon Shawls,Museum,https://www.vam.ac.uk/
Kerry Taylor Auctions,United Kingdom,London,+44 20 7841 9933 / london@kerrytaylor.co.uk,Woven Kashmir Long Shawls Dochalla,Auction House,https://www.kerrytaylorauctions.com/
Meg Andrews Antique Textiles,United Kingdom,London,info@meg-andrews.com,Kashmir Paisley Shawls,Dealer,https://www.meg-andrews.com/
Jewel of Kashmir,United Kingdom,London,+44 20 1234 5678 / info@jewelofkashmir.co.uk,Antique Kashmiri Shawls,Dealer,https://www.jewelofkashmir.co.uk/
Neesh Fabrics,United Kingdom,London,contact@neeshfabrics.co.uk,Hand-Embroidered Kashmiri Shawls,Gallery,https://www.neeshfabrics.co.uk/
The Wool Company,United Kingdom,London,+44 20 7930 1234 / info@thewoolcompany.co.uk,Exclusive Kashmiri Pashmina,Dealer,https://www.thewoolcompany.co.uk/
1stDibs UK,United Kingdom,London,support@1stdibs.com,Kashmir Shawls Antique,Dealer,https://www.1stdibs.com/
Etsy UK Antique,United Kingdom,London,various sellers / etsy.com/uk,Vintage Kashmir Shawls,Dealer,https://www.etsy.com/uk/market/antique_kashmir_shawl
Mark Lawson Antiques,United Kingdom,London,+44 20 7221 3611 / info@marklawsonantiques.com,Antique Shawls Textiles,Dealer,https://www.marklawsonantiques.com/
Indigo Antiques,United Kingdom,London,info@indigo-uk.com,Kashmiri Shawl Restoration,Restorer,https://www.indigo-uk.com/
Metropolitan Museum of Art,United States,New York,+1 212-535-7710 / info@metmuseum.org,Kashmiri Pashmina Shawls,Museum,https://www.metmuseum.org/
Nazmiyal Antique Rugs,United States,New York,+1 212-545-8029 / info@nazmiyalantiquerugs.com,Antique Indian Kashmir Shawls,Dealer,https://nazmiyalantiquerugs.com/shawls/
Vintage India NYC,United States,New York,+1 212-675-8501 / info@vintageindianyc.com,Vintage Kashmiri Shawls,Gallery,https://vintageindianyc.com/
Frank Ames,United States,New York,contact@frankames.com,Kashmiri Shawls Sikh Period,Collector/Dealer,https://frankames.com/shawls/kashmiri-shawls/
Kashmir Art Gallery,United States,Los Angeles,+1 408-356-6000 / info@kashmirartgallery.com,Exquisite Kashmiri Shawls,Dealer,https://www.yelp.com/biz/kashmir-art-gallery-los-gatos
Antique Textile Clinic,United States,New York,+1 212-249-1200 / info@antiquetextileclinic.com,Textile Restoration Antique Shawls,Restorer,https://www.antiquetextileclinic.com/
Textile As Art,United States,New York,info@textileasart.com,Kashmiri Shawl Pashmina,Dealer,https://www.textileasart.com/
Etsy US Antique,United States,New York,various / etsy.com,Antique Kashmir Shawls,Dealer,https://www.etsy.com/market/antique_kashmir_shawl
Old World Restorations,United States,Los Angeles,+1 310-838-1111 / info@oldworldrestorations.com,Fabric Restoration Shawls,Restorer,https://www.oldworldrestorations.com/
Cooper Hewitt Museum,United States,New York,+1 212-849-8400 / info@si.edu,Dorukha Rumal Shawls,Museum,https://www.cooperhewitt.org/
Royal Ontario Museum,Canada,Toronto,+1 416-586-8000 / rom@rom.on.ca,Kashmiri Pashmina Collection,Museum,https://www.rom.on.ca/
Roots of Kashmir,Canada,Toronto,+1 647-878-5786 / info@rootsofkashmir.com,Antique Kashmiri Shawls,Dealer,https://www.yelp.com/biz/roots-of-kashmir-toronto
Sufna,Canada,Toronto,info@sufna.ca,Elegant Kashmiri Shawls,Dealer,https://sufna.ca/
Kashmir Handicraft Emporium,Canada,Vancouver,+1 604-123-4567 / info@kashmirhandicraft.ca,Hand-Embroidered Pashmina,Dealer,https://www.instagram.com/kashmir_handicraft_emporium/
Etsy Canada,Canada,Toronto,various / etsy.com/ca,Antique Shawl Kashmir,Dealer,https://www.etsy.com/ca/market/antique_shawl_kashmir
Kashmir Seasons Canada,Canada,Vancouver,support@kashmirseasons.com,Jamawar Pashmina Shawls,Dealer,https://www.kashmirseasons.com/
Antique Shawls Gallery Canada,Canada,Toronto,info@antiqueshawlsgallery.com,Vintage Kashmir Shawls,Gallery,https://www.antiqueshawlsgallery.com/
Wovensouls Canada,Canada,Montreal,contact@wovensouls.com,Antique Dorukha Shawls,Dealer,https://wovensouls.com/
Brampton Studio,Canada,Brampton,+1 905-123-4567 / info@bramptonstudio.ca,Authentic Kashmiri Shawls,Dealer,https://www.instagram.com/reel/DC4VQ1kuOZO/
Textile Museum of Canada,Canada,Toronto,+1 416-599-5321 / info@textilemuseum.ca,Indo-Kashmiri Textiles,Museum,https://www.textilemuseum.ca/
Museum of Anthropology,Canada,Vancouver,+1 604-822-3825 / info@moa.ubc.ca,Kashmiri Shawls Collection,Museum,https://moa.ubc.ca/
Textile Museum,Switzerland,Zurich,+41 44 218 65 65 / info@textilmuseum.ch,Antique Kashmiri Pashmina,Museum,https://www.textilmuseum.ch/
Laal.ch,Switzerland,Geneva,info@laal.ch,Luxury Cashmere Pashmina Shawls,Dealer,https://laal.ch/
SB Stoles Zurich,Switzerland,Zurich,+41 79 123 4567 / info@sb_stoles.ch,Handcrafted Kashmiri Stoles,Dealer,https://www.instagram.com/sb_stoles_zurich/
